thisRow.t,notes,response,correct,correct_response,response_time,difficulty,category,phase,stimulus_ID,stim presentation time,delay presentation time,AB presentation time,debugging_time,feedback presentation time,ITI presentation time,ITI response time,participant,session,date,
,,8,1,"['5', '6', '7', '8']",0.4961355419945903,2,2,train,,,,,,,,,,,2023-12-13_10h38.28.001,
,,9,1,['9'],0.8715912909974577,1,1,train,,,,,,,,,,,2023-12-13_10h38.28.001,
,,8,1,"['5', '6', '7', '8']",0.45324095799878705,1,2,train,,,,,,,,,,,2023-12-13_10h38.28.001,
,,9,1,['9'],0.3412040410039481,2,1,train,,,,,,,,,,,2023-12-13_10h38.28.001,
,,8,1,"['5', '6', '7', '8']",0.4626513739931397,1,2,train,,,,,,,,,,,2023-12-13_10h38.28.001,
,,8,1,"['5', '6', '7', '8']",0.4252597080048872,1,2,train,,,,,,,,,,,2023-12-13_10h38.28.001,
,,9,1,['9'],0.08801762499206234,1,1,train,,,,,,,,,,,2023-12-13_10h38.28.001,
,,9,1,['9'],0.18684520799433812,1,1,train,,,,,,,,,,,2023-12-13_10h38.28.001,
,,8,1,"['5', '6', '7', '8']",0.7514455409982475,2,2,train,,,,,,,,,,,2023-12-13_10h38.28.001,
,,9,1,['9'],0.3051833740028087,2,1,train,,,,,,,,,,,2023-12-13_10h38.28.001,
,,9,1,['9'],0.46876966700074263,1,1,test,15,0.007822416999260895,0.6106685840059072,1.6152215839974815,1.6152162090002093,2.364728542001103,3.366581291993498,0.613709832992754,,,2023-12-13_10h38.28.001,
,,8,1,"['5', '6', '7', '8']",0.490088457998354,1,2,test,3,4.267157791997306,4.870267334001255,5.874875916997553,1.6126824160019169,6.716865334004979,7.718839459004812,0.5404957079881569,,,2023-12-13_10h38.28.001,
,,8,1,"['5', '6', '7', '8']",0.4555872909986647,1,2,test,19,8.520597750000888,9.123216749998392,10.127796874992782,1.6146034590055933,10.937645625002915,11.939586416992825,0.565872874998604,,,2023-12-13_10h38.28.001,
,,8,1,"['5', '6', '7', '8']",0.3878805410058703,1,2,test,9,12.824114667004324,13.42682574999344,14.4313438340032,1.6130428750038845,15.209251916996436,16.211190375004662,0.4192584580014227,,,2023-12-13_10h38.28.001,
,,9,1,['9'],0.2917784579913132,1,1,test,4,16.950175292004133,17.552880999995978,18.557397625001613,1.6120626670017373,19.133814708999125,20.13580487499712,0.4386939579999307,,,2023-12-13_10h38.28.001,
